files,Date,Strain,H2O2 Conc. at Viability mid point,H2O2 Conc. at Black colony count mid point ,OD600nm,Notes,repeat
101S.PeroxideEffectonLOH.Jan252011.csv,1/25/11,101S,0.045,0.03,,good,
101S.PeroxideEffectonLOH.Jan272011.csv,1/27/11,101S,0.045,0.025,,good,
"M1-2,20120502,H2O2LOH.csv",5/2/12,M1-2,0.06,0.035,,20130530,
"M1-2,20110422.H2O2onLOH.csv",4/22/11,M1-2,0.065,0.02,,20130530,
,8/26/11,M1-2,NA,0.063,,"For ""black"" line the value provided is a very rough estimate. Weid viability",
"M1-2,20111207.modified.csv",12/7/11,M1-2,0.05,0.015,1,"Needs to be redone in R because line for ""black"" is variable. Once redone, however, same graph was obtained.",
"M2-8,06062011.H2O2onLOH.csv",6/6/11,M2-8,0.03,0.12,,,
"M2-8,08172011.H2O2.LOH.modified.csv",8/17/11,M2-8,0.04,0.085,,,
"M2-8,Dec19 2011.csv",12/19/11,M2-8,0.055,0.03,1,,
"M5,H202.022511.csv",2/25/11,M5,0.05,0.1,,,
"M5,08162011.H2O2.LOH.csv",8/16/11,M5,0.075,0.072,,"For viability, midpoint of scale was .5 because the line only went from about 0.2 to 1.0",repeat
"M8,Feb8,2011.H2O2effectonLOHmodified.csv",2/8/11,M8,0.06,0.08,,,
"M8,Mar302011.Effectof H2O2onLOH.csv",3/30/11,M8,0.04,0.025,,,
"M8,Dec15 2011.csv",12/15/11,M8,0.07,0.02,0.9,,repeat
"M13,May18.2011.M13.H2O2.LOH.csv",5/18/11,M13,0.005,0.005,,line for viability has an outlier (difficult to interpret),
"M13,08242011.H2O2.LOH.csv",8/24/11,M13,0.028,0.007,,"Viability goes down to 0.4 (viability didn't completely finish); for mutation (black), the line begins to plateau at about 0.02.",
"M13,Dec2,2011.modified.csv",12/2/11,M13,0.035,0.02,0.9,,
"M32,May25,2011.H202LOHcorrected.csv",5/25/11,M32,0.06,0.03,,,wrong strain? 
"M32,08102011.H2O2onLOH.csv",8/10/11,M32,0.12,0.015,,"Viability goes from 1.0 to .4 (viability line didn't completely finish); seems to ""plateau"" at .020 (for black colonies)--> this is where the measurement starts. ",repeated using R
NA,12/16/11,M32,0.15,0.02,0.9,">0.15, did not plateau",
"M32,Jan4,2012.csv",1/4/12,M32,0.25,0.1,1.1,,repeat? 
"M32,Jan10,2012,Three Hours.corrected.csv",1/10/12,M32,0.25,0.15,0.91,,
"M32,Jan10,2012,OneandHalfHour.modified.csv",1/10/12,M32,0.3,0.15,,,
"M34,042011.H2O2onLOH.csv",4/20/11,M34,0.07,0.068,,,
M34.08232011.H2O2.LOH.csv,8/23/11,M34,0.13,0.04,,"For the black line, there is an outlier at 0.01. ",
"YPS128,042911,H2O2LOH.modified.csv",4/29/11,YPS128,0.005,0.006,,"For black line, there was such a fast drop in viability that there is a data error. However, if we disregard the data error, the plateau begins at around 0.016 (y-left part of the graph)",
"YPS128,20110825,H2O2LOH.csv",8/25/11,YPS128,0.01,0.025,,,
"YPS128,DEC9,2011.csv",12/9/11,YPS128,0.012,0.025,0.9,,
"YPS128,H2O2LOH_Nov14,2011.modified.csv",11/4/11,YPS128,0.015,0.025,,20130530,
"YPS163,Apr082011.H2O2onLOH.modifed.csv",4/8/11,YPS163,0.02,0.025,,,
"YPS163,Apr13,2011.H2O2.LOH.csv",4/13/11,YPS163,0.016,0.015,,,
NA,4/16/12,YPS163,NA,NA,,"colonies need to be counted, old MLA plates were used and uneven lead is suspected.",
NA,4/23/12,YPS163,NA,NA,,too few colonies,
"YPS163,20120503,YPS163-H2O2LOH.csv",5/3/12,YPS163,,,,,
"SGU57,Jan6,2012.csv",1/6/12,SGU57,0.035,0.015,0.9,,
"SGU57,Jan12,2012.modified.csv",1/12/12,SGU57,0.02,0.005,1.1,,
"SGU57,Jan13,2012.modified.csv",1/13/12,SGU57,0.02,0.005,1,,
"BY4743,20120530,H2O2LOH.csv",5/30/12,BY4743,0.035,0.05,,noisy,
"BY4743,20120907,H2O2LOH.csv",9/7/12,BY4743,0.06,0.075,,Good,
"ctt1,20121016,H2O2LOH.csv",10/16/12,ctt1,0.005,0.006,,,
"ctt1,20121026,H2O2LOH.csv",10/26/12,ctt1,0.008,0.007,,,
"sod2,20120914,H2O2LOH.csv",9/14/12,sod2,0.0003,0.0002,,extremely sharp,
"sod2,20120918,H2O2LOH.csv",9/18/12,sod2,0.0003,0.0003,,extremely sharp,
NA,NA,tor1,,,,todo,
NA,NA,sod1,,,,todo,
