"File","Strain","Good","Cv","CvW","Cb","CbW","b.min","b.max"
"101S.PeroxideEffectonLOH.Jan252011.csv","101S",1,0.0428014,3.269193002,0.0214007,3.269193002,0.00456635881102651,0.0220588235294118
"101S.PeroxideEffectonLOH.Jan272011.csv","101S",1,0.0369891,3.99958994,0.01849455,3.99958994,0.00450485396721956,0.0340218712029162
"BY4743,20120503,H2O2LOH.csv","BY4743",1,0.034157787,2.255475333,0.0170788935,2.255475333,0.0100231090534736,0.0296650717703349
"M1-2,20110422.H2O2onLOH.csv","M12",1,0.055841645,2.294099441,0.0279208225,2.294099441,0.00159391746995529,0.0324825986078886
"M1-2,20110826.H2O2.LOH.csv","M12",1,0.195235816,0.213080349,NA,NA,0.00456635881102651,0.0220588235294118
"M1-2,20111207.modified.csv","M12",1,0.047657115,1.665241984,NA,NA,0.00456635881102651,0.0220588235294118
"M1-2,20120502,H2O2LOH.csv","M12",1,0.05006715,1.288560759,NA,NA,0.00456635881102651,0.0220588235294118
"M13,08242011.H2O2.LOH.csv","M13",1,0.028385185,2.249508131,NA,NA,0.00456635881102651,0.0220588235294118
"M13,Dec2,2011.csv","M13",1,0.029923824,2.54326284,NA,NA,0.00456635881102651,0.0220588235294118
"M13,May18.2011.M13.H2O2.LOH.csv","M13",1,0.005530554,1.402374859,NA,NA,0.00456635881102651,0.0220588235294118
"M2-8,06062011.H2O2onLOH.csv","M28",1,0.030718252,2.198916157,NA,NA,0.00456635881102651,0.0220588235294118
"M2-8,08172011.H2O2.LOH.modified.csv","M28",1,0.033186246,2.853069473,NA,NA,0.00456635881102651,0.0220588235294118
"M2-8,Dec19 2011.csv","M28",1,0.060717829,2.296900431,NA,NA,0.00456635881102651,0.0220588235294118
"M2-8.02082012.H2O2-few-colonies.csv","M28",1,0.723193405,0.395051057,NA,NA,0.00456635881102651,0.0220588235294118
"M32,08102011.H2O2onLOH.csv","M32",1,0.132137104,1.816700897,NA,NA,0.00456635881102651,0.0220588235294118
"M32,Jan10,2012,Three Hours.corrected.csv","M32",1,0.135717315,1.387451005,NA,NA,0.00456635881102651,0.0220588235294118
"M32,Jan4,2012.csv","M32",1,0.211104659,2.344532829,NA,NA,0.00456635881102651,0.0220588235294118
"M32,May25,2011.H202LOHcorrected.csv","M32",1,0.081336925,3.003255947,NA,NA,0.00456635881102651,0.0220588235294118
"M32,Star,Jan10,2012,OneandHalfHour.csv","M32",1,0.358377643,4.265987809,NA,NA,0.00456635881102651,0.0220588235294118
"M34,042011.H2O2onLOH.csv","M34",1,0.073307106,4.468250038,NA,NA,0.00456635881102651,0.0220588235294118
"M34.08232011.H2O2.LOH.csv","M34",1,0.116248382,2.694426741,NA,NA,0.00456635881102651,0.0220588235294118
"M5,08162011.H2O2.LOH.csv","M5",1,0.077801068,1.934142161,NA,NA,0.00456635881102651,0.0220588235294118
"M5,H202.022511.csv","M5",1,0.050345736,1.396930125,NA,NA,0.00456635881102651,0.0220588235294118
"M8,Dec15 2011.csv","M8",1,0.081719579,2.796426557,NA,NA,0.00456635881102651,0.0220588235294118
"M8,Feb8,2011.H2O2effectonLOH.csv","M8",1,0.062684972,3.181826156,NA,NA,0.00456635881102651,0.0220588235294118
"M8,Mar302011.Effectof H2O2onLOH.csv","M8",1,0.040744972,3.094691935,NA,NA,0.00456635881102651,0.0220588235294118
"SGU57,Jan12,2012.modified.csv","SGU57",1,0.010602096,1.593218503,NA,NA,0.00456635881102651,0.0220588235294118
"SGU57Jan13,2012.modified.csv","SGU57",1,0.015153896,2.34587431,NA,NA,0.00456635881102651,0.0220588235294118
"SGU57Jan6,2012.csv","SGU57",1,0.029483147,2.334256218,NA,NA,0.00456635881102651,0.0220588235294118
"YPS128,042911.H2O2onLOH.modified.csv","YPS128",1,0.003831073,1.32065533,NA,NA,0.00456635881102651,0.0220588235294118
"YPS128,DEC9,2011.csv","YPS128",1,0.011351519,1.68573978,NA,NA,0.00456635881102651,0.0220588235294118
"YPS128,H2O2LOH_Nov14,2011.modified.csv","YPS128",1,0.010121401,1.323307065,NA,NA,0.00456635881102651,0.0220588235294118
"YPS163,20120423,H2O2LOH-toofewcolonies.csv","YPS163",1,0.00534783,1.162869644,NA,NA,0.00456635881102651,0.0220588235294118
"YPS163,20120503,YPS163-H2O2LOH.csv","YPS163",1,0.012533511,2.584263404,NA,NA,0.00456635881102651,0.0220588235294118
"YPS163,Apr082011.H2O2onLOH.modifed.csv","YPS163",1,0.014513804,3.195059899,NA,NA,0.00456635881102651,0.0220588235294118
"YPS163,Apr13,2011.H2O2.LOH.csv","YPS163",1,0.014614056,3.947840961,NA,NA,0.00456635881102651,0.0220588235294118
