"file","Date","Strain","CvManu","CbManu","Cb0.5Manu","OD","label.x","files","Cv","CvW","Cb","CbW","b.min","b.max","Cb0.5","Cb0.5W","b0.5.min","b0.5.max","CvChanges","CbChanges","Note2013Dec4","note13","X","Cv.vs.Cb.Manu","Cv.vs.Cb.gnls"
"101S.PeroxideEffectonLOH.Jan252011.csv","1/25/11","101S",0.045,0.03,0.01,NA,"101S 1/25/11","101S.PeroxideEffectonLOH.Jan252011.csv",0.04126,3.7,0.03,NA,0.0033,0.036,0.017,0.4,0.0017,0.022,1.09064469219583,1,"","good",NA,1.5,1.37533333333333
"101S.PeroxideEffectonLOH.Jan272011.csv","1/27/11","101S",0.045,0.025,0.01,NA,"101S 1/27/11","101S.PeroxideEffectonLOH.Jan272011.csv",0.03709326,2,0.033709358,1.412497501,0.001476,0.043326725,0.007760117,0.53,0.00152,0.029,1.21315840128368,0.741633821682395,"","good",NA,1.8,1.10038464689835
"BY4743,20120530,H2O2LOH.csv","5/30/12","BY4743",0.035,0.05,0.01,NA,"BY4743 5/30/12","BY4743,20120530,H2O2LOH.csv",0.033527486,2.6222019,0.03,1,0.004244,0.0391,0.00095,1,0.0021,0.0229,1.04391960673699,1.66666666666667,"","noisy",NA,0.7,1.11758286666667
"BY4743,20120907,H2O2LOH.csv","9/7/12","BY4743",0.06,0.075,0.01,NA,"BY4743 9/7/12","BY4743,20120907,H2O2LOH.csv",0.05193367,1.71,0.0188,0.57,0.0144,0.065,0.0012,0.11,0.0096,0.0398,1.15531985318966,3.98936170212766,"","Good",NA,0.8,2.76242925531915
"ctt1,20121016,H2O2LOH.csv","10/16/12","ctt1",0.005,0.006,0.0025,NA,"ctt1 10/16/12","ctt1,20121016,H2O2LOH.csv",0.005696347,1.413766,0.0053,2.1,0.0043,0.0688,0.0032,0.667,0.00078,0.023,0.877755515947326,1.13207547169811,"","b, b0.5 ~ exponetial??",NA,0.833333333333333,1.07478245283019
"ctt1,20121026,H2O2LOH.csv","10/26/12","ctt1",0.008,0.007,0.015,NA,"ctt1 10/26/12","ctt1,20121026,H2O2LOH.csv",0.007473881,6.6915415,0.0097,2.2,0.0026,0.0077,0.0011,1,0.00097,0.036,1.0703943506727,0.721649484536082,"","b plateau?, b0.5 exponetial?",NA,1.14285714285714,0.770503195876289
"M1-2,20110422.H2O2onLOH.csv","4/22/11","M1-2",0.065,0.02,0.01,NA,"M1-2 4/22/11","M1-2,20110422.H2O2onLOH.csv",0.04891834,2.263646,0.0429,1.5,0.00115,0.042,0.0119,0.48,0.0017,0.0435,1.32874500647405,0.466200466200466,"Visual and gnls difference","visual and gnls difference",NA,3.25,1.14028764568765
"M1-2,20111207.modified.csv","12/7/11","M1-2",0.05,0.015,0.01,1,"M1-2 12/7/11","M1-2,20111207.modified.csv",0.048,NA,0.0429,1.5,0.0022,0.0278,0.01,NA,0.0017,0.0315,1.04166666666667,0.34965034965035,"exponetial viability","Needs to be redone in R because line for ""black"" is variable.|| Once redone, however, same graph was obtained.||Viability seems exponential?",NA,3.33333333333333,1.11888111888112
"M1-2,20120502,H2O2LOH.csv","5/2/12","M1-2",0.06,0.035,0.01,NA,"M1-2 5/2/12","M1-2,20120502,H2O2LOH.csv",0.0724,NA,0.039,1.69,0.00137,0.067,0.0165,0.82,0.0017,0.047,0.828729281767956,0.897435897435897,"exponetial viability","viability ~ exponetial?",NA,1.71428571428571,1.85641025641026
"M13,08242011.H2O2.LOH.csv","8/24/11","M13",0.028,0.007,0.0025,NA,"M13 8/24/11","M13,08242011.H2O2.LOH.csv",0.0269,1.9,0.0142,1.56,0.00272,0.037,0.00599,1,0.00148,0.0329,1.04089219330855,0.492957746478873,"sigmoidal viability, partial coverage","Viability goes down to 0.4 (viability didn't completely finish); for mutation (black), the line begins to plateau at about 0.02.",NA,4,1.8943661971831
"M13,Dec2,2011.modified.csv","12/2/11","M13",0.035,0.02,0.0025,0.9,"M13 12/2/11","M13,Dec2,2011.modified.csv",0.02730311,2.827,0.0470652,2.03,0.002037,0.07814,0.018,1,0.0024,0.054,1.28190524815671,0.424942420302049,"outlier 0.0375","",NA,1.75,0.580112482258654
"M13,May18.2011.M13.H2O2.LOH.csv","5/18/11","M13",0.005,0.005,0.003,NA,"M13 5/18/11","M13,May18.2011.M13.H2O2.LOH.csv",0.0087,NA,0.0158,0.79,0.0036,0.148,0.00259,1,0.0012,0.0788,0.574712643678161,0.316455696202532,"exponetial viability, linear b;","line for viability has an outlier (difficult to interpret)",NA,1,0.550632911392405
"M2-8,06062011.H2O2onLOH.csv","6/6/11","M2-8",0.03,0.01,0.015,NA,"M2-8 6/6/11","M2-8,06062011.H2O2onLOH.csv",0.0342,3.96,0.01,NA,0.012,0.03,0.01,1,0.0033,0.036834778,0.87719298245614,1,"segmented b, why? H2O2 seems right, because viability is smooth","",NA,3,3.42
"M2-8,08172011.H2O2.LOH.modified.csv","8/17/11","M2-8",0.04,0.085,0.0075,NA,"M2-8 8/17/11","M2-8,08172011.H2O2.LOH.modified.csv",0.0349,3.9,0.0146,0.8,0.0041,0.029,0.0386,1,0.0014,0.042,1.14613180515759,5.82191780821918,"","",NA,0.470588235294118,2.39041095890411
"M2-8,Dec19 2011.csv","12/19/11","M2-8",0.055,0.03,0.02,1,"M2-8 12/19/11","M2-8,Dec19 2011.csv",0.0587,2.25,0.028,1,0.003,0.00255,0.03,2.296079483,0.0015,0.042,0.936967632027257,1.07142857142857,"","",NA,1.83333333333333,2.09642857142857
"M32,08102011.H2O2onLOH.csv","8/10/11","M32",0.12,0.015,0.02,NA,"M32 8/10/11","M32,08102011.H2O2onLOH.csv",0.1176,1.8,0.0052,0.8,0.00487,0.023,0.0209,1,0.0035,0.03027,1.02040816326531,2.88461538461538,"","Viability goes from 1.0 to .4 (viability line didn't completely finish); seems to ""plateau"" at .020 (for black colonies)--> this is where the measurement starts. ",NA,8,22.6153846153846
"M32,Jan10,2012,Three Hours.corrected.csv","1/10/12","M32",0.25,0.15,0.03,0.91,"M32 1/10/12","M32,Jan10,2012,Three Hours.corrected.csv",0.11,1.4,0.18,1,0.0041,0.0052,0.05,NA,0.0057,0.067,2.27272727272727,0.833333333333333,"noisy","",NA,1.66666666666667,0.611111111111111
"M32,Jan4,2012.csv","1/4/12","M32",0.25,0.1,0.03,1.1,"M32 1/4/12","M32,Jan4,2012.csv",0.23,NA,0.26,1.89,0.00688,0.060800274,0.075,0.5,0.0042,0.061,1.08695652173913,0.384615384615385,"","",NA,2.5,0.884615384615385
"M32,May25,2011.H202LOHcorrected.csv","5/25/11","M32",0.06,0.03,0.01,NA,"M32 5/25/11","M32,May25,2011.H202LOHcorrected.csv",0.0728,1.93,0.036,0.75,0.003,0.021,0.025,NA,0.0029,0.0267,0.824175824175824,0.833333333333333,"b0.5 dilution bias","",NA,2,2.02222222222222
"M34,042011.H2O2onLOH.csv","4/20/11","M34",0.07,0.068,0.01,NA,"M34 4/20/11","M34,042011.H2O2onLOH.csv",0.0696,3.7,0.0692,1.01,0.00257,0.0606,0.0378,0.79,0.00257,0.061,1.00574712643678,0.982658959537572,"","",NA,1.02941176470588,1.00578034682081
"M34.08232011.H2O2.LOH.csv","8/23/11","M34",0.13,0.04,0.01,NA,"M34 8/23/11","M34.08232011.H2O2.LOH.csv",0.116,1.5,0.064,3,0.0031,0.0348,0.0306,0.622,0.00314,0.047,1.12068965517241,0.625,"","For the black line, there is an outlier at 0.01. ",NA,3.25,1.8125
"M5,08162011.H2O2.LOH.csv","8/16/11","M5",0.075,0.072,0.075,NA,"M5 8/16/11","M5,08162011.H2O2.LOH.csv",0.0726,1.9,0.043,1.2,0.0021,0.056,0.021,0.94,0.00197,0.0474,1.03305785123967,1.67441860465116,"","For viability, midpoint of scale was .5 because the line only went from about 0.2 to 1.0",NA,1.04166666666667,1.68837209302326
"M5,H202.022511.csv","2/25/11","M5",0.05,0.1,0.03,NA,"M5 2/25/11","M5,H202.022511.csv",0.0395,1.5,0.04,NA,0.0014,0.0805,0.013,0.5,0.0013,0.043,1.26582278481013,2.5,"b dilution bias","",NA,0.5,0.9875
"M8,Dec15 2011.csv","12/15/11","M8",0.07,0.02,0.0075,0.9,"M8 12/15/11","M8,Dec15 2011.csv",0.734,2.6,0.045,1.4,0.00202,0.00404,0.025,NA,0.0031,0.045,0.0953678474114441,0.444444444444444,"","",NA,3.5,16.3111111111111
"M8,Feb8,2011.H2O2effectonLOHmodified.csv","2/8/11","M8",0.06,0.08,0.005,NA,"M8 2/8/11","M8,Feb8,2011.H2O2effectonLOHmodified.csv",0.057,3.2,0.0564,1.3,0.00242,0.051,0.009,2.1,0.0066,0.033,1.05263157894737,1.41843971631206,"","",NA,0.75,1.01063829787234
"M8,Mar302011.Effectof H2O2onLOH.csv","3/30/11","M8",0.04,0.025,0.0025,NA,"M8 3/30/11","M8,Mar302011.Effectof H2O2onLOH.csv",0.040793703,3.75,0.0299,0.98,0.0024,0.053,0.024,5,0.0058,0.042,0.980543492214963,0.836120401337793,"","",NA,1.6,1.36433789297659
"SGU57,Jan12,2012.modified.csv","1/12/12","SGU57",0.02,0.005,0.01,1.1,"SGU57 1/12/12","SGU57,Jan12,2012.modified.csv",0.016,NA,0.028,1.2,0.0039,0.0055,0.0147,2,0.0022,0.036,1.25,0.178571428571429,"","",NA,4,0.571428571428571
"SGU57,Jan13,2012.modified.csv","1/13/12","SGU57",0.02,0.005,0.005,1,"SGU57 1/13/12","SGU57,Jan13,2012.modified.csv",0.0146,2.3,0.046,2,0.0026,0.039,0.032,2,0.0027,0.039,1.36986301369863,0.108695652173913,"","",NA,4,0.317391304347826
"SGU57,Jan6,2012.csv","1/6/12","SGU57",0.035,0.015,0.02,0.9,"SGU57 1/6/12","SGU57,Jan6,2012.csv",0.021,1.9,0.0255,0.6,0.0032,0.059,0.013,3,0.00253,0.045,1.66666666666667,0.588235294117647,"","",NA,2.33333333333333,0.823529411764706
"sod2,20120914,H2O2LOH.csv","9/14/12","sod2",3e-04,2e-04,0.0015,NA,"sod2 9/14/12","sod2,20120914,H2O2LOH.csv",0.000459753,NA,0.000813,1.006,0.0032,0.05,0.00013,1,0.0032,0.0503,0.652524290216703,0.2460024600246,"","extremely sharp",NA,1.5,0.56550184501845
"sod2,20120918,H2O2LOH.csv","9/18/12","sod2",3e-04,3e-04,0.001,NA,"sod2 9/18/12","sod2,20120918,H2O2LOH.csv",9.57e-05,1.2,0.000883012,0.68,0.167,0.315,5e-04,NA,0.0027,0.051,3.13479623824451,0.339746232214285,"log-log linear","extremely sharp",NA,1,0.108379048076357
"YPS128,042911,H2O2LOH.modified.csv","4/29/11","YPS128",0.005,0.006,0.005,NA,"YPS128 4/29/11","YPS128,042911,H2O2LOH.modified.csv",0.00308,1.9,0.01,1,0.00114,0.032,0.015,0.14,0.002,0.032,1.62337662337662,0.6,"","For black line, there was such a fast drop in viability that there is a data error. However, if we disregard the data error, the plateau begins at around 0.016 (y-left part of the graph)",NA,0.833333333333333,0.308
"YPS128,20110825,H2O2LOH.csv","8/25/11","YPS128",0.01,0.025,0.05,NA,"YPS128 8/25/11","YPS128,20110825,H2O2LOH.csv",0.0126,3,0.011,0.48,0.25,0.357,0.025,NA,0.0069,0.031,0.793650793650794,2.27272727272727,"","",NA,0.4,1.14545454545455
"YPS128,DEC9,2011.csv","12/9/11","YPS128",0.012,0.025,0.015,0.9,"YPS128 12/9/11","YPS128,DEC9,2011.csv",0.0124,1.6,0.0231,3.58,0.003,0.115,0.005,1,0.0016,0.057,0.967741935483871,1.08225108225108,"","",NA,0.48,0.536796536796537
"YPS128,H2O2LOH_Nov14,2011.modified.csv","11/4/11","YPS128",0.015,0.025,0.005,NA,"YPS128 11/4/11","YPS128,H2O2LOH_Nov14,2011.modified.csv",0.075,NA,0.01,NA,0.065,0.13,0.0075,NA,0.0032,0.043,0.2,2.5,"too noisy","20130530",NA,0.6,7.5
"YPS163,20120503,YPS163-H2O2LOH.csv","5/3/12","YPS163",0.015,0.075,0.003,NA,"YPS163 5/03/12","YPS163,20120503,YPS163-H2O2LOH.csv",0.0121,3.5,0.0109,1.83,0.0065,0.091,0.002865541,0.28,0.00389,0.061,1.2396694214876,6.88073394495413,"pretty","",NA,0.2,1.11009174311927
"YPS163,Apr082011.H2O2onLOH.modifed.csv","4/8/11","YPS163",0.02,0.025,0.002,NA,"YPS163 4/8/11","YPS163,Apr082011.H2O2onLOH.modifed.csv",0.0135,3.1,0.0147,1.1,0.00149,0.0999,0.00448,1,0.00156,0.058,1.48148148148148,1.70068027210884,"pretty","",NA,0.8,0.918367346938776
"YPS163,Apr13,2011.H2O2.LOH.csv","4/13/11","YPS163",0.016,0.015,0.002,NA,"YPS163 4/13/11","YPS163,Apr13,2011.H2O2.LOH.csv",0.0125,3.97,0.0156,1.2,0.0033,0.086,0.0049,0.3,0.00225,0.0498,1.28,0.961538461538462,"","",NA,1.06666666666667,0.801282051282051
