"file","Date.x","Strain","CvManu","CbManu","Cb0.5Manu","OD","note13","repeat","label.x","X","files","Cv","CvW","Cb","CbW","b.min","b.max","update","change","color","pch","label.y","Cv.vs.Cb","Date.y","strains","Cv.1","Cb.1","OD600","note","NA.","Cv.vs.Cb.1","Cv.vs.Cv.2","Cb0.5","Cb0.5W","b0.5.min","b0.5.max","CvChanges","CbChanges"
"101S.PeroxideEffectonLOH.Jan252011.csv","1/25/11","101S",0.045,0.03,0.01,NA,"good","","101S 1/25/11","1","101S.PeroxideEffectonLOH.Jan252011.csv",0.042798544,3.268555629,0.03,3.268555629,0.00456635881102651,0.026180926916221,1,2,"red",19,NA,1,"1/25/11","101S",0.045,0.03,NA,"good","",1.5,1.426618133,0.03,3.268555629,0.00284618442595082,0.018425307342668,1.0514376376916,1
"101S.PeroxideEffectonLOH.Jan272011.csv","1/27/11","101S",0.045,0.025,0.01,NA,"good","","101S 1/27/11","2","101S.PeroxideEffectonLOH.Jan272011.csv",0.036987734,3.996637115,0.033709358,1.412497501,0.00431827434485671,0.0433267250751423,2,1.614014738,"red",19,NA,1.097254183,"1/27/11","101S",0.045,0.025,NA,"good","",1.8,1.097254183,0.033709358,1.412497501,0.0105877644766147,0.0261276555196694,1.21661954203521,0.741633821682395
"BY4743,20120530,H2O2LOH.csv","5/30/12","BY4743",0.035,0.05,0.01,NA,"noisy","","BY4743 5/30/12","38","BY4743,20120530,H2O2LOH.csv",0.034151765,2.254220647,0.01,1,0.0100231090534736,0.0360339493127293,3,1.999999941,"red",19,NA,1,"5/30/12","BY4743",0.035,0.05,NA,"noisy","",0.7,0.6830353,0.01,1,0.00825281984451535,0.0162958545245708,1.02483722290781,5
"BY4743,20120907,H2O2LOH.csv","9/7/12","BY4743",0.06,0.075,0.01,NA,"Good","","BY4743 9/7/12","39","BY4743,20120907,H2O2LOH.csv",0.049399177,1.552355224,0.0268860941156773,NA,0.0254593652407582,0.0603514260041932,4,2.00000004,"red",19,"BY4743,20120907,H2O2LOH.csv",1,"9/7/12","BY4743",0.06,0.075,NA,"Good","",0.8,0.658655693,-0.000895996707508752,NA,0.0128477013581233,0.0346435949947223,1.21459513384201,2.78954613776597
"ctt1,20121016,H2O2LOH.csv","10/16/12","ctt1",0.005,0.006,0.0025,NA,"","","ctt1 10/16/12","40","ctt1,20121016,H2O2LOH.csv",0.006099206,1.409473408,0.013325712,2.119679666,0.0104280880570726,0.124746707193516,5,1.032208525,"black",1,NA,0.482160651,"10/16/12","ctt1",0.005,0.006,NA,"","",0.833333333,1.016534333,0.013325712,2.119679666,0.00700132318600935,0.0195536024785811,0.819778836786296,0.450257367111041
"ctt1,20121026,H2O2LOH.csv","10/26/12","ctt1",0.008,0.007,0.015,NA,"","","ctt1 10/26/12","41","ctt1,20121026,H2O2LOH.csv",0.007157219,3.909978605,0.008831964,2.174898692,0.00708496886651828,0.0893089960886571,6,0.946649576,"black",1,NA,0.81037682,"10/26/12","ctt1",0.008,0.007,NA,"","",1.142857143,0.81037682,0.0143459535005674,14.7265055751463,0.00856909552843562,0.106334841628959,1.1177525795983,0.792575694375566
"M1-2,20110422.H2O2onLOH.csv","4/22/11","M1-2",0.065,0.02,0.01,NA,"20130530","","M1-2 4/22/11","4","M1-2,20110422.H2O2onLOH.csv",0.05581481,2.289461991,0.039074351,0.771807848,0.00159391746995529,0.0363693871356003,7,1.400142761,"black",1,NA,1.428425769,"4/22/11","M1-2",0.065,0.02,NA,"20130530","",3.25,1.428425769,0.039074351,0.771807848,0.0077606602731548,0.0381662433404567,1.16456546210585,0.511844713684432
"M1-2,20111207.modified.csv","12/7/11","M1-2",0.05,0.015,0.01,1,"Needs to be redone in R because line for ""black"" is variable. Once redone, however, same graph was obtained.","","M1-2 12/7/11","6","M1-2,20111207.modified.csv",0.033830837,0.933332377,0.015,0.933332377,0.0026280796828742,0.0292682926829268,8,2.000000059,"red",19,"M1-2,20111207.modified.csv",1,"12/7/11","M1-2",0.05,0.015,1,"Needs to be redone in R because line for ""black"" is variable. Once redone, however, same graph was obtained.","",3.333333333,2.255389133,0.026282935,0.933332377,0.001996831996832,0.0280352303523035,1.47794155964867,1
"M1-2,20120502,H2O2LOH.csv","5/2/12","M1-2",0.06,0.035,0.01,NA,"20130530","","M1-2 5/2/12","3","M1-2,20120502,H2O2LOH.csv",0.050288427,1.282163253,0.035,1.282163253,0.00438501680054004,0.0600433259094918,9,2.00000004,"red",19,"M1-2,20120502,H2O2LOH.csv",1,"5/2/12","M1-2",0.06,0.035,NA,"20130530","",1.714285714,1.4368122,0.035,1.282163253,0.00338167996740028,0.045897404423416,1.19311745424052,1
"M13,08242011.H2O2.LOH.csv","8/24/11","M13",0.028,0.007,0.0025,NA,"Viability goes down to 0.4 (viability didn't completely finish); for mutation (black), the line begins to plateau at about 0.02.","","M13 8/24/11","16","M13,08242011.H2O2.LOH.csv",0.028282529,2.287783047,0.015,2.287783047,0.00442688499619193,0.0308913336041847,10,1.999999929,"red",19,NA,1,"8/24/11","M13",0.028,0.015,NA,"Viability goes down to 0.4 (viability didn't completely finish); for mutation (black), the line begins to plateau at about 0.02.","",1.866666667,1.885501933,0.015,2.287783047,0.00680906862279318,0.0223538848950083,0.990010476078713,0.466666666666667
